Duolingo_Category	Simplified Chinese	Traditional Chinese	Pinyin	English Definition
Location 3	前面		qián miàn	ahead / in front / preceding / above / also pr. [qian2 mian5]
Location 3	后面	後面	hòu miàn	rear / back / behind / later / afterwards / also pr. [hou4 mian5]
Location 3	学校	學校	xué xiào	school / CL: 所
Location 3	前		qián	front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly
Location 3	后		Hòu   hòu   hòu	surname Hou  empress / queen  back / behind / rear / afterwards / after / later
Location 3	校		jiào   xiào	to proofread / to check / to compare  school / military officer / CL: 所
Location 3	走		zǒu	to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)
Location 3	到		dào	to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action)
Location 3	路		Lù   lù	surname Lu  road / CL: 條｜条 / journey / route / line (bus etc) / sort / kind
Location 3	怎么	怎麼	zěn me	how? / what? / why?
Location 3	哪里	哪裏	nǎ lǐ   nǎ lǐ	where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment / also written 哪裡｜哪里  where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment
Location 3	这里	這裡	zhè lǐ	here
Location 3	那里	那裏	nà li   nà li	there / that place / also written 那裡｜那里  there / that place
Location 3	往		wǎng	to go (in a direction) / to / towards / (of a train) bound for / past / previous
Location 3	里	裡	lǐ   Lǐ   lǐ	lining / interior / inside / internal / also written 裏｜里  Li (surname)  li, ancient measure of length, approx. 500 m / neighborhood / ancient administrative unit of 25 families / (Tw) borough, administrative unit between the township 鎮｜镇 and neighborhood 鄰｜邻 levels
Hobbies 1	喜欢	喜歡	xǐ huan	to like / to be fond of
Hobbies 1	看		kān   kàn	to look after / to take care of / to watch / to guard  to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger)
Hobbies 1	书	書	Shū   shū	abbr. for 書經｜书经  book / letter / document / CL: 本, 冊｜册, 部 / to write
Hobbies 1	在		zài	(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)
Hobbies 1	喜		xǐ	to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad
Hobbies 1	欢	歡	huān   huān   huān	joyous / happy / pleased  hubbub / clamor / variant of 歡｜欢  a breed of horse / variant of 歡｜欢
Hobbies 1	玩		wán	to play / to have fun / to trifle with / toy / sth used for amusement / curio or antique (Taiwan pr. [wan4]) / to keep sth for entertainment
Hobbies 1	电脑	電腦	diàn nǎo	computer / CL: 臺｜台
Hobbies 1	游戏	遊戲	yóu xì	game / CL: 場｜场 / to play
Hobbies 1	最		zuì	most / the most / -est (superlative suffix)
Hobbies 1	脑	腦	nǎo	brain / mind / head / essence
Hobbies 1	游		Yóu   yóu   yóu	surname You  to swim / variant of 遊｜游  to walk / to tour / to roam / to travel
Hobbies 1	戏	戲	xì	trick / drama / play / show / CL: 出, 場｜场, 臺｜台
Hobbies 1	听		yǐn   tīng   tìng	smile (archaic)  to listen / to hear / to obey / a can (loanword from English 'tin') / classifier for canned beverages  (literary pronunciation, still advocated in Taiwan) to rule / to sentence / to allow
Hobbies 1	音乐	音樂	yīn yuè	music / CL: 張｜张, 曲, 段
Hobbies 1	歌		gē	song / CL: 支, 首 / to sing
Hobbies 1	音		yīn	sound / noise / note (of musical scale) / tone / news / syllable / reading (phonetic value of a character)
Hobbies 1	乐	樂	Lè   Yuè   lè   yuè	surname Le  surname Yue  happy / cheerful / to laugh  music
Hobbies 1	跳舞		tiào wǔ	to dance
Hobbies 1	会	會	huì   kuài	can / to be possible / to be able to / will / to be likely to / to be sure to / to assemble / to meet / to gather / to see / union / group / association / CL: 個｜个 / a moment (Taiwan pr. for this sense is [hui3])  to balance an account / accountancy / accounting
Hobbies 1	唱		chàng	to sing / to call loudly / to chant
Hobbies 1	跳		tiào	to jump / to hop / to skip over / to bounce / to palpitate
Hobbies 1	舞		wǔ	to dance / to wield / to brandish
Daily Routine 1	起床		qǐ chuáng	to get out of bed / to get up
Daily Routine 1	上学	上學	shàng xué	to go to school / to attend school
Daily Routine 1	上班		shàng bān	to go to work / to be on duty / to start work / to go to the office
Daily Routine 1	早饭	早飯	zǎo fàn	breakfast / CL: 份, 頓｜顿, 次, 餐
Daily Routine 1	做		zuò	to do / to make / to produce / to write / to compose / to act as / to engage in / to hold (a party) / to be / to become / to function (in some capacity) / to serve as / to be used for / to form (a bond or relationship) / to pretend / to feign / to act a part / to put on appearance
Daily Routine 1	起		qǐ	to rise / to raise / to get up / to set out / to start / to appear / to launch / to initiate (action) / to draft / to establish / to get (from a depot or counter) / verb suffix, to start / starting from (a time, place, price etc) / classifier for occurrences or unpredictable events: case, instance / classifier for groups: batch, group
Daily Routine 1	床		chuáng	bed / couch / classifier for beds / CL: 張｜张
Daily Routine 1	班		Bān   bān	surname Ban  team / class / squad / work shift / ranking / CL: 個｜个 / classifier for groups
Daily Routine 1	从	從	Cóng   cóng   zòng	surname Cong  from / through / via / to follow / to obey / to engage in (an activity) / never (in negative sentence) / (Taiwan pr. [zong4]) retainer / assistant / accomplice / related by common paternal grandfather or earlier ancestor  second cousin
Daily Routine 1	睡觉	睡覺	shuì jiào	to go to bed / to sleep
Daily Routine 1	午饭	午飯	wǔ fàn	lunch / CL: 份, 頓｜顿, 次, 餐
Daily Routine 1	睡		shuì	to sleep / to lie down
Daily Routine 1	觉	覺	jiào   jué	a nap / a sleep / CL: 場｜场  to feel / to find that / thinking / awake / aware
Daily Routine 1	放学	放學	fàng xué	to dismiss students at the end of the school day
Daily Routine 1	下班		xià bān	to finish work / to get off work
Daily Routine 1	回		huí   huí	to circle / to go back / to turn around / to answer / to return / to revolve / Hui ethnic group (Chinese Muslims) / time / classifier for acts of a play / section or chapter (of a classic book)  to curve / to return / to revolve
Daily Routine 1	晚饭	晚飯	wǎn fàn	evening meal / dinner / supper / CL: 份, 頓｜顿, 次, 餐
Daily Routine 1	放		fàng	to put / to place / to release / to free / to let go / to let out / to set off (fireworks)
Payment	钱	錢	Qián   qián	surname Qian  coin / money / CL: 筆｜笔 / unit of weight, one tenth of a tael 兩｜两
Payment	块	塊	kuài	lump (of earth) / chunk / piece / classifier for pieces of cloth, cake, soap etc / (coll.) classifier for money and currency units
Payment	只		zhǐ   zhǐ   zhī	only / merely / just / but  grain that has begun to ripen / variant of 衹｜只  classifier for birds and certain animals, one of a pair, some utensils, vessels etc
Payment	买	買	mǎi	to buy / to purchase
Payment	一共		yī gòng	altogether
Payment	毛		Máo   máo	surname Mao  hair / feather / down / wool / mildew / mold / coarse or semifinished / young / raw / careless / unthinking / nervous / scared / (of currency) to devalue or depreciate / classifier for Chinese fractional monetary unit ( = 角 , = one-tenth of a yuan or 10 fen 分)
Payment	分		fēn   fèn	to divide / to separate / to distribute / to allocate / to distinguish (good and bad) / part or subdivision / fraction / one tenth (of certain units) / unit of length equivalent to 0.33 cm / minute (unit of time) / minute (angular measurement unit) / a point (in sports or games) / 0.01 yuan (unit of money)  part / share / ingredient / component
Payment	共		gòng	common / general / to share / together / total / altogether / abbr. for 共產黨｜共产党, Communist party
Payment	信用卡		xìn yòng kǎ	credit card
Payment	收		shōu	to receive / to accept / to collect / to put away / to restrain / to stop / in care of (used on address line after name)
Payment	千		qiān   qiān	thousand  see 鞦韆｜秋千
Payment	信		xìn	letter / mail / CL: 封 / to trust / to believe / to profess faith in / truthful / confidence / trust / at will / at random
Payment	用		yòng	to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore
Payment	卡		kǎ   qiǎ	to stop / to block / card / CL: 張｜张, 片 / calorie / cassette / (computing) (coll.) slow  to block / to be stuck / to be wedged / customs station / a clip / a fastener / a checkpost / Taiwan pr. [ka3]
Payment	贵	貴	guì	expensive / noble / precious / (honorific) your
Payment	便宜		biàn yí   pián yi	convenient  cheap / inexpensive / small advantages / to let sb off lightly
Payment	现金	現金	xiàn jīn	cash
Payment	便		biàn   pián	plain / informal / suitable / convenient / opportune / to urinate or defecate / equivalent to 就: then / in that case / even if / soon afterwards  see 便宜
Payment	宜		Yí   yí	surname Yi  proper / should / suitable / appropriate
Payment	金		Jīn   jīn	surname Jin / surname Kim (Korean) / Jurchen Jin dynasty (1115-1234)  gold / chemical element Au / generic term for lustrous and ductile metals / money / golden / highly respected / one of the eight ancient musical instruments 八音
Payment	太		tài	highest / greatest / too (much) / very / extremely
Payment	万		Mò   Wàn   wàn	see 万俟  surname Wan  ten thousand / a great number
Payment	行		háng   xíng	row / line / commercial firm / line of business / profession / to rank (first, second etc) among one's siblings (by age) / (in data tables) row / (Tw) column  to walk / to go / to travel / a visit / temporary / makeshift / current / in circulation / to do / to perform / capable / competent / effective / all right / OK! / will do / behavior / conduct / Taiwan pr. [xing4] for the behavior-conduct sense
Payment	了		le   liǎo   liǎo	(modal particle intensifying preceding clause) / (completed action marker)  to finish / to achieve / variant of 瞭｜了 / to understand clearly  (of eyes) bright / clear-sighted / to understand clearly
Entertainment	想		xiǎng	to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)
Entertainment	干	乾	Gān   gān   gān   gàn	surname Gan  dry / clean / in vain / dried food / foster / adoptive / to ignore  to concern / to interfere / shield / stem  tree trunk / main part of sth / to manage / to work / to do / capable / cadre / to kill (slang) / to fuck (vulgar)
Entertainment	影		yǐng	picture / image / film / movie / photograph / reflection / shadow / trace
Entertainment	视	視	shì	to look at / to regard / to inspect
Entertainment	电视	電視	diàn shì	television / TV / CL: 臺｜台, 個｜个
Entertainment	电影	電影	diàn yǐng	movie / film / CL: 部, 片, 幕, 場｜场
Entertainment	报纸	報紙	bào zhǐ	newspaper / newsprint / CL: 份, 期, 張｜张
Entertainment	上网	上網	shàng wǎng	to go online / to connect to the Internet / (of a document etc) to be uploaded to the Internet / (tennis, volleyball etc) to move in close to the net
Entertainment	报	報	bào	to announce / to inform / report / newspaper / recompense / revenge / CL: 份, 張｜张
Entertainment	纸	紙	zhǐ	paper / CL: 張｜张, 沓 / classifier for documents, letter etc
Entertainment	网	網	wǎng	net / network
Entertainment	手机	手機	shǒu jī	cell phone / mobile phone / CL: 部, 支
Entertainment	用		yòng	to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore
Entertainment	新闻	新聞	xīn wén	news / CL: 條｜条, 個｜个
Entertainment	机	機	Jī   jī	surname Ji  machine / engine / opportunity / intention / aircraft / pivot / crucial point / flexible (quick-witted) / organic / CL: 臺｜台
Entertainment	新		Xīn   xīn	abbr. for Xinjiang 新疆 or Singapore 新加坡 / surname Xin  new / newly / meso- (chemistry)
